id,scenario,mobility,router,nodes,ttl,seed,buffer_size,message_interval,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,speed_avg
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[78802]_[50M]_[5,25]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[78802]_[50M]_[5,25]",MANET,EpidemicOracle,400,300,78802,50,"5,25",21600,1444,1970259,1970259,0,1771764,129650,1039,0.7195,0,1895.3032,2714.0202,2340,9.8354,9,620.422,455,6226.94376507922,6238.09745984474,3.11689280858905
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[45907]_[75M]_[5,25]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[45907]_[75M]_[5,25]",MANET,EpidemicOracle,400,300,45907,75,"5,25",21600,1444,2604844,2604844,0,2342569,158784,1180,0.8172,0,2206.4949,2342.039,2136,8.6822,8,668.5559,470,6370.09485907599,6375.24350381932,Infinity
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[82509]_[200M]_[5,25]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[82509]_[200M]_[5,25]",MANET,EpidemicOracle,100,300,82509,200,"5,25",21600,1471,146598,146598,0,24838,52148,1138,0.7736,0,127.8207,4705.5791,4574,4.4394,4,3852.1571,2555,6391.63569924308,6432.28582654444,Infinity
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[65221]_[75M]_[60, 120]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[65221]_[75M]_[60, 120]",MANET,EpidemicOracle,100,300,65221,75,"60, 120",21600,242,22337,22337,0,0,9004,185,0.7645,0,119.7405,4903.9946,4734,4.427,4,1929.4103,1580,6050.25391449853,6181.10685316904,1.79682880198313
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[80454]_[75M]_[5,25]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[80454]_[75M]_[5,25]",MANET,EpidemicOracle,400,300,80454,75,"5,25",21600,1444,2570518,2570518,0,2301332,168078,1178,0.8158,0,2181.1036,2459.1511,2235,9.1384,8,675.8238,485,6300.74628719812,6246.87511667854,3.2232778173071
"MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[11778]_[75M]_[25,35]","MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[11778]_[75M]_[25,35]",MANET,EpidemicOracle,200,300,11778,75,"25,35",21600,730,368123,368123,0,260064,55731,619,0.8479,0,593.706,3013.3457,2894,5.6187,5,1936.2438,1390,6285.4978771205,6309.66236109109,2.59178177304165
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[16966]_[100M]_[35,60]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[16966]_[100M]_[35,60]",MANET,EpidemicOracle,400,300,16966,100,"35,60",21600,460,236224,236224,0,16315,81552,423,0.9196,0,557.4492,1761.9811,1683,5.461,5,3238.9373,650,6436.3258123039,6452.4519062967,4.28859293708322
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[96617]_[200M]_[5,25]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[96617]_[200M]_[5,25]",MANET,EpidemicOracle,400,300,96617,200,"5,25",21600,1444,2462692,2462692,0,1943507,239218,1301,0.901,0,1891.9224,1833.7556,1758,5.9139,6,1600.2967,875,6156.09333462616,6108.01592848588,3.8650724696013
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[61667]_[50M]_[60, 120]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[61667]_[50M]_[60, 120]",MANET,EpidemicOracle,100,300,61667,50,"60, 120",21600,242,23040,23040,0,51,8661,191,0.7893,0,119.6283,4570.0157,4328,4.1623,4,1809.416,1425,6616.06398037069,6639.47143250557,1.84528775821398
"MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[91016]_[75M]_[5,25]","MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[91016]_[75M]_[5,25]",MANET,EpidemicOracle,200,300,91016,75,"5,25",21600,1454,647252,647252,0,513177,82576,1103,0.7586,0,585.8105,3500.7208,3215,6.9547,6,1251.2099,985,6098.65244326348,6034.81220406793,2.30651506984808
"MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[8439]_[100M]_[35,60]","MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[8439]_[100M]_[35,60]",MANET,EpidemicOracle,200,300,8439,100,"35,60",21600,458,107849,107849,0,817,39251,404,0.8821,0,265.953,2686.7723,2629,4.8688,5,1308.9967,835,6200.89785374681,6231.17082226115,Infinity
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[8439]_[50M]_[25,35]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[8439]_[50M]_[25,35]",MANET,EpidemicOracle,100,300,8439,50,"25,35",21600,728,78699,78699,0,41871,19607,492,0.6758,0,158.9573,4973.0305,4812,4.3821,4,2592.4063,2210,6319.42909042928,6338.46480186664,1.64578061047486
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[15475]_[50M]_[5,25]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[15475]_[50M]_[5,25]",MANET,EpidemicOracle,400,300,15475,50,"5,25",21600,1444,2035689,2035689,0,1843110,124979,1023,0.7084,0,1988.9208,2565.3109,2229,9.8847,8,603.6681,440,6329.45453395672,6355.96359897473,3.21025120198734
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[35402]_[200M]_[35,60]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[35402]_[200M]_[35,60]",MANET,EpidemicOracle,400,300,35402,200,"35,60",21600,460,235752,235752,0,0,79546,413,0.8978,0,569.8281,1730.4165,1676,5.2881,5,610.9696,490,6156.78269449068,6141.80972506789,4.05771212639405
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[20098]_[50M]_[35,60]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[20098]_[50M]_[35,60]",MANET,EpidemicOracle,100,300,20098,50,"35,60",21600,459,58557,58557,0,25561,15754,356,0.7756,0,163.486,4617.8596,4501,4.3258,4,3105.3744,2480,6334.93675377689,6417.31875480816,1.98144510608267
